time,batch_id,event_type,req_id,details
0.0000,0,arrival,0,{'prefill_length': 150; 'decode_length': 30}
1.1500,1,arrival,1,{'prefill_length': 160; 'decode_length': 30}
1.1500,1,arrival,2,{'prefill_length': 170; 'decode_length': 30}
1.1500,1,arrival,3,{'prefill_length': 180; 'decode_length': 30}
1.1500,1,arrival,4,{'prefill_length': 190; 'decode_length': 30}
1.1500,1,arrival,5,{'prefill_length': 200; 'decode_length': 30}
1.1500,1,arrival,6,{'prefill_length': 210; 'decode_length': 30}
1.1500,1,arrival,7,{'prefill_length': 220; 'decode_length': 30}
1.1500,1,arrival,8,{'prefill_length': 230; 'decode_length': 30}
1.1500,1,arrival,9,{'prefill_length': 240; 'decode_length': 30}
39.7930,30,completion,0,{'decode_length': 30; 'total_delay': 39.79299999999999}
42.5110,32,completion,1,{'decode_length': 30; 'total_delay': 42.41099999999999}
81.1230,60,completion,2,{'decode_length': 30; 'total_delay': 80.92299999999999}
83.9210,62,completion,3,{'decode_length': 30; 'total_delay': 83.621}
123.6530,90,completion,4,{'decode_length': 30; 'total_delay': 123.253}
126.5310,92,completion,5,{'decode_length': 30; 'total_delay': 126.031}
167.3830,120,completion,6,{'decode_length': 30; 'total_delay': 166.783}
169.8800,122,completion,7,{'decode_length': 30; 'total_delay': 169.17999999999998}
193.6400,138,swap_out,8,{'decode_position': 16; 'memory_freed': 0}
211.3150,152,completion,9,{'decode_length': 30; 'total_delay': 210.41499999999994}
228.8500,166,completion,8,{'decode_length': 30; 'total_delay': 228.0499999999999}
